,codpro,codfor,estoque,min_dt_estoque
8090,093943,00468,6.0,2024-12-27
8092,087739,06331,8.0,2024-07-16
8093,087761,06332,6.0,2024-07-24
8094,094031,00261,2.0,2025-01-15
8095,087791,06331,8.0,2024-07-16
8096,087793,06331,4.0,2025-02-06
8097,087805,06331,2.0,2024-09-14
8099,087821,06332,8.0,2024-08-22
8100,094065,03488,1.0,2025-01-21
8102,087835,06332,2.0,2024-09-17
8103,087853,06332,10.0,2024-08-22
8106,087867,06332,3.0,2024-07-18
8107,087885,06331,4.0,2024-09-27
8108,087889,06332,4.0,2024-09-11
8111,087935,06331,4.0,2024-09-14
8114,087949,06331,5.0,2024-07-16
8115,087951,06331,5.0,2024-07-16
8116,087993,06332,2.0,2025-02-05
8117,094299,00421,6.0,2025-01-11
8118,094301,00421,12.0,2025-01-11
8119,094303,00421,12.0,2025-01-11
8120,094305,00421,12.0,2025-01-11
8121,094317,00421,60.0,2025-01-11
8123,088065,06332,2.0,2024-09-14
8124,094355,00421,10.0,2025-01-11
8125,094357,00421,18.0,2025-01-11
8128,094415,06331,2.0,2025-02-06
8130,088157,06331,4.0,2024-09-14
8131,088163,06331,6.0,2024-07-19
8132,088197,06331,2.0,2024-12-04
8133,088207,06331,6.0,2024-09-14
8134,088215,06331,2.0,2024-09-14
8135,088225,06331,1.0,2024-09-14
8136,088229,06331,4.0,2024-12-27
8137,088263,06332,4.0,2024-08-22
8138,088293,06332,6.0,2024-08-22
8139,088347,00360,2.0,2024-07-02
8140,088383,00440,3.0,2025-01-22
8142,088437,06332,38.0,2024-07-24
8145,088493,00417,8.0,2024-10-15
8148,088523,00417,12.0,2024-10-15
8150,088545,02932,48.0,2024-09-13
8153,088579,02530,2.0,2024-10-23
8154,088587,00589,2.0,2024-06-18
8155,088593,00589,5.0,2024-06-18
8156,088595,00589,4.0,2024-06-18
8158,094707,06331,4.0,2025-02-06
8159,094721,06331,2.0,2025-02-06
8160,094741,06331,2.0,2025-02-06
8162,094785,06331,2.0,2025-02-06
8164,094809,06331,4.0,2025-02-06
8165,094815,06331,4.0,2025-02-06
8166,094835,06331,12.0,2025-02-06
8167,094847,06331,4.0,2025-03-08
8169,088839,00360,3.0,2024-10-08
8173,088959,00261,1.0,2024-08-15
8188,089085,00360,4.0,2025-01-25
8189,089111,00360,3.0,2025-01-25
8193,089171,00895,2.0,2024-07-15
8194,089175,06331,4.0,2024-09-14
8195,089199,06331,12.0,2024-07-16
8196,089203,06331,12.0,2024-07-16
8197,089209,06331,2.0,2024-09-14
8208,089259,00360,3.0,2025-01-25
8209,089277,02932,44.0,2024-07-21
8210,089281,00360,4.0,2025-01-14
8211,089295,02932,48.0,2024-07-23
8214,089313,02932,6.0,2024-07-21
8215,089341,02932,20.0,2024-07-21
8216,095587,01148,11.0,2025-02-18
8217,095601,00421,8.0,2025-01-29
8221,089423,02932,40.0,2024-07-21
8222,089427,02932,72.0,2024-07-21
8224,089439,02932,48.0,2024-07-21
8225,089475,02932,40.0,2024-07-21
8226,089477,02932,48.0,2024-07-25
8227,089479,02932,48.0,2024-09-13
8228,089487,02932,24.0,2024-07-25
8229,089491,02932,84.0,2024-07-21
8230,089499,02932,16.0,2024-07-23
8231,089501,02932,48.0,2024-07-22
8232,089507,02932,24.0,2024-07-23
8233,089509,02932,48.0,2024-07-21
8234,089519,02932,24.0,2024-07-21
8235,089521,02932,48.0,2024-07-21
8236,089551,02932,24.0,2024-07-21
8237,089567,02932,16.0,2024-07-21
8238,089569,02932,20.0,2024-07-21
